date,diario_existe,paginas,documentos
06/10/2008,nao,0,0
07/10/2008,sim,52,52
08/10/2008,sim,60,60
09/10/2008,sim,68,68
10/10/2008,sim,24,24
11/10/2008,sim,28,28
12/10/2008,nao,0,0
13/10/2008,nao,0,0
14/10/2008,sim,60,60
15/10/2008,sim,64,64
16/10/2008,sim,68,68
17/10/2008,nao,0,0
18/10/2008,sim,44,44
19/10/2008,nao,0,0
20/10/2008,nao,0,0
21/10/2008,sim,76,76
22/10/2008,sim,68,68
23/10/2008,sim,72,72
24/10/2008,sim,48,48
25/10/2008,sim,60,60
26/10/2008,nao,0,0
27/10/2008,nao,0,0
28/10/2008,nao,0,0
29/10/2008,sim,16,16
30/10/2008,sim,72,72
31/10/2008,sim,92,92
01/11/2008,sim,64,64
02/11/2008,nao,0,0
03/11/2008,nao,0,0
04/11/2008,sim,188,188
05/11/2008,sim,252,252
06/11/2008,sim,184,184
07/11/2008,sim,124,124
08/11/2008,sim,44,44
09/11/2008,nao,0,0
10/11/2008,nao,0,0
11/11/2008,sim,56,56
12/11/2008,sim,76,76
13/11/2008,sim,64,64
14/11/2008,sim,32,32
15/11/2008,sim,32,32
16/11/2008,nao,0,0
17/11/2008,nao,0,0
18/11/2008,sim,64,64
19/11/2008,sim,84,84
20/11/2008,sim,28,28
21/11/2008,nao,0,0
22/11/2008,sim,20,20
23/11/2008,nao,0,0
24/11/2008,nao,0,0
25/11/2008,sim,56,56
26/11/2008,sim,68,68
27/11/2008,sim,76,76
28/11/2008,sim,44,44
29/11/2008,sim,40,40
30/11/2008,nao,0,0
01/12/2008,nao,0,0
02/12/2008,sim,72,72
03/12/2008,sim,68,68
04/12/2008,sim,96,96
05/12/2008,sim,40,40
06/12/2008,sim,32,32
07/12/2008,nao,0,0
08/12/2008,nao,0,0
09/12/2008,sim,64,64
10/12/2008,sim,100,100
11/12/2008,sim,88,88
12/12/2008,sim,32,32
13/12/2008,sim,32,32
14/12/2008,nao,0,0
15/12/2008,nao,0,0
16/12/2008,sim,72,72
17/12/2008,sim,44,44
18/12/2008,sim,120,120
19/12/2008,sim,48,48
20/12/2008,sim,32,32
21/12/2008,nao,0,0
22/12/2008,nao,0,0
23/12/2008,sim,8,8
24/12/2008,sim,8,8
25/12/2008,sim,8,8
26/12/2008,nao,0,0
27/12/2008,nao,0,0
28/12/2008,nao,0,0
29/12/2008,nao,0,0
30/12/2008,sim,8,8
31/12/2008,sim,4,4
01/01/2009,sim,4,4
02/01/2009,nao,0,0
03/01/2009,nao,0,0
04/01/2009,nao,0,0
05/01/2009,nao,0,0
06/01/2009,sim,24,24
07/01/2009,sim,12,12
08/01/2009,sim,12,12
09/01/2009,sim,4,4
10/01/2009,sim,20,20
11/01/2009,nao,0,0
12/01/2009,nao,0,0
13/01/2009,sim,12,12
14/01/2009,sim,16,16
15/01/2009,sim,12,12
16/01/2009,sim,16,16
17/01/2009,sim,16,16
18/01/2009,nao,0,0
19/01/2009,nao,0,0
20/01/2009,sim,28,28
21/01/2009,sim,16,16
22/01/2009,sim,12,12
23/01/2009,sim,12,12
24/01/2009,sim,12,12
25/01/2009,nao,0,0
26/01/2009,nao,0,0
27/01/2009,sim,16,16
28/01/2009,sim,20,20
29/01/2009,sim,40,40
30/01/2009,sim,20,20
31/01/2009,sim,12,12
01/02/2009,nao,0,0
02/02/2009,nao,0,0
03/02/2009,sim,72,72
04/02/2009,sim,88,88
05/02/2009,sim,64,64
06/02/2009,sim,28,28
07/02/2009,sim,28,28
08/02/2009,nao,0,0
09/02/2009,nao,0,0
10/02/2009,sim,64,64
11/02/2009,sim,68,68
12/02/2009,sim,72,72
13/02/2009,sim,32,32
14/02/2009,sim,28,28
15/02/2009,nao,0,0
16/02/2009,nao,0,0
17/02/2009,sim,76,76
18/02/2009,sim,60,60
19/02/2009,sim,68,68
20/02/2009,sim,36,36
21/02/2009,sim,52,52
22/02/2009,nao,0,0
23/02/2009,nao,0,0
24/02/2009,nao,0,0
25/02/2009,nao,0,0
26/02/2009,sim,16,16
27/02/2009,sim,28,28
28/02/2009,sim,24,24
01/03/2009,nao,0,0
02/03/2009,nao,0,0
03/03/2009,sim,60,60
04/03/2009,sim,72,72
05/03/2009,sim,72,72
06/03/2009,sim,32,32
07/03/2009,sim,24,24
08/03/2009,nao,0,0
09/03/2009,nao,0,0
10/03/2009,sim,56,56
11/03/2009,sim,76,76
12/03/2009,sim,80,80
13/03/2009,sim,40,40
14/03/2009,sim,32,32
15/03/2009,nao,0,0
16/03/2009,nao,0,0
